,Unnamed: 0,t,DF(t),MarketRate,P,V,PD,PS
10082,10082,28709.916666666668,1.01065731081554,-0.498,1.0169316054962947,-5106.274496303639,0.0009765625,0.9990234375
10083,10083,28710.916666666668,1.0106627437291698,-0.498,1.0169309838320972,-5106.777806350016,0.0009765625,0.9990234375
10084,10084,28711.916666666668,1.0106681766720045,-0.498,1.0169303628298998,-5107.281119101999,0.0009765625,0.9990234375
10085,10085,28712.916666666668,1.0106736096440447,-0.498,1.0169297424895087,-5107.784434559602,0.0009765625,0.9990234375
10086,10086,28713.916666666668,1.0106790426452903,-0.498,1.0169291228107296,-5108.287752722839,0.0009765625,0.9990234375
10087,10087,28714.916666666668,1.0106844756757425,-0.498,1.0169285037933689,-5108.791073591726,0.0009765625,0.9990234375
10088,10088,28715.916666666668,1.0106899087353998,-0.498,1.0169278854372326,-5109.294397166276,0.0009765625,0.9990234375
10089,10089,28716.916666666668,1.0106953418242637,-0.498,1.0169272677421273,-5109.797723446504,0.0009765625,0.9990234375
10090,10090,28717.916666666668,1.0107007749423336,-0.498,1.0169266507078591,-5110.301052432425,0.0009765625,0.9990234375
10091,10091,28718.916666666668,1.0107062080896096,-0.498,1.0169260343342348,-5110.804384124054,0.0009765625,0.9990234375
10092,10092,28719.916666666668,1.0107116412660926,-0.498,1.0169254186210603,-5111.307718521405,0.0009765625,0.9990234375
10093,10093,28720.916666666668,1.0107170744717822,-0.498,1.0169248035681429,-5111.811055624492,0.0009765625,0.9990234375
10094,10094,28721.916666666668,1.0107225077066788,-0.498,1.0169241891752887,-5112.31439543333,0.0009765625,0.9990234375
10095,10095,28722.916666666668,1.0107279409707823,-0.498,1.016923575442305,-5112.817737947934,0.0009765625,0.9990234375
10096,10096,28723.916666666668,1.010733374264093,-0.498,1.0169229623689982,-5113.321083168317,0.0009765625,0.9990234375
10097,10097,28724.916666666668,1.0107388075866108,-0.498,1.0169223499551754,-5113.824431094496,0.0009765625,0.9990234375
10098,10098,28725.916666666668,1.0107442409383365,-0.498,1.0169217382006437,-5114.3277817264825,0.0009765625,0.9990234375
10099,10099,28726.916666666668,1.01074967431927,-0.498,1.0169211271052099,-5114.831135064293,0.0009765625,0.9990234375
10100,10100,28727.916666666668,1.0107551077294108,-0.498,1.0169205166686812,-5115.334491107943,0.0009765625,0.9990234375
10101,10101,28728.916666666668,1.0107605411687597,-0.498,1.016919906890865,-5115.837849857445,0.0009765625,0.9990234375
10102,10102,28729.916666666668,1.0107659746373168,-0.498,1.0169192977715682,-5116.341211312814,0.0009765625,0.9990234375
10103,10103,28730.916666666668,1.010771408135082,-0.498,1.0169186893105986,-5116.844575474065,0.0009765625,0.9990234375
10104,10104,28731.916666666668,1.010776841662056,-0.498,1.0169180815077636,-5117.347942341213,0.0009765625,0.9990234375
10105,10105,28732.916666666668,1.0107822752182385,-0.498,1.0169174743628704,-5117.851311914272,0.0009765625,0.9990234375
